created_at,text,emotion
2022-05-20T04:03:10.000Z,"cried my eyes out, this song is so personal to me. thank you 🫶🏼",fear
2022-05-20T04:03:11.000Z,SO REAL,sadness
2022-05-20T04:03:11.000Z,HERE WE GOO!!! Music for a sushi restaurant ❤️,joy
2022-05-20T04:03:11.000Z,Already ended everbore,fear
2022-05-20T04:03:11.000Z,WELCOMEEE TO !!!!,joy
2022-05-20T04:03:12.000Z,WHAT A SONG TO START THE ALBUM WITH WOW,surpise
2022-05-20T04:03:12.000Z,not even one song in and it’s already so good,joy
2022-05-20T04:03:12.000Z,Lolzzz,joy
2022-05-20T04:03:12.000Z,Screaming crying and throwing up rn!!!!!!!,joy
2022-05-20T04:03:12.000Z,The way that spotify just CRASHED 💀,surpise
2022-05-20T04:03:12.000Z,Omg it’s finally here time to start listening to it,surpise
2022-05-20T04:03:12.000Z,"IM MOANING OH MY GOD WHAT THE FUCK MUSIC FOR A SUSHI RESTAURANT ????3?3&amp;:8593$,:&amp;2&amp;’hrbhth feb jet",joy
2022-05-20T04:03:13.000Z,Music For A Sushi Restaurant,joy
2022-05-20T04:03:13.000Z,Not Spotify crashing 😩,surpise
2022-05-20T04:03:13.000Z,Spotify why are you doing this to me? 😭,joy
2022-05-20T04:03:13.000Z,AAAAAA IT SOUNDS SO FUCKING GOOD ALREADY,joy
2022-05-20T04:03:13.000Z,he's so hot,sadness
2022-05-20T04:03:14.000Z,15 seconds into music for a sushi restaurant and i’m currently,joy
2022-05-20T04:03:14.000Z,Im watching the YouTube live and im speechless,surpise
2022-05-20T04:03:15.000Z,I CAN COOK AN EGG ON YOU ?!?,fear
2022-05-20T04:03:15.000Z,It's incredibleee,joy
2022-05-20T04:03:14.000Z,this is nicki's fault,joy
2022-05-20T04:03:15.000Z,You know that the album is so good when you are struggling to pick a favorite song is a masterpiece I'm in love with it already,joy
2022-05-20T04:03:15.000Z,Luv u boyfriend 🐚🐚,joy
2022-05-20T04:03:15.000Z,oh it's not 174k for sure,fear
2022-05-20T04:03:15.000Z,flop,joy
2022-05-20T04:03:15.000Z,There's one here but i work all weekend and can't go 😭,fear
2022-05-20T04:03:15.000Z,HS3 IS HERE,joy
2022-05-20T04:03:15.000Z,Harry's House. That's it.,fear
2022-05-20T04:03:15.000Z,and he meant every word,anger
2022-05-20T04:03:15.000Z,Not this…,joy
2022-05-20T04:03:16.000Z,Here we go everyone. I’m already screaming !!!!,joy
2022-05-20T04:03:16.000Z,OHMY FUCKKK,joy
2022-05-20T04:03:16.000Z,reaction thread,joy
2022-05-20T04:03:16.000Z,IM ACTUALLY CRYING,surpise
2022-05-20T04:03:16.000Z,SO SAD,sadness
2022-05-20T04:03:16.000Z,HARRY EXPLAIN THIS,fear
2022-05-20T04:03:16.000Z,I'm too sleepy for this right now.,fear
2022-05-20T04:03:16.000Z,It’s out now!!!,joy
2022-05-20T04:03:17.000Z,i already know if the album is already starting out this good it’s gonna get sad asap god damn it,joy
2022-05-20T04:03:17.000Z,OMG SUSHI REALLY DOES SOUND LIKE THE ANT FARM THEME SONG,surpise
2022-05-20T04:03:17.000Z,not everyone’s spotify crashing rn from the release😭😭,surpise
2022-05-20T04:03:17.000Z,I am faster than the wind!!,joy
2022-05-20T04:03:17.000Z,MUSIC FOR A SUSHI RESTAURANT IS SO MUCH FUN WHAT A GREAT FIRST SONG,joy
2022-05-20T04:03:17.000Z,"Harry Styles has returned with his third studio album,",fear
2022-05-20T04:03:17.000Z,YALL BROKE SPOTIFY,surpise
2022-05-20T04:03:17.000Z,worst album ever,surpise
2022-05-20T04:03:17.000Z,ITS CAUSE I LOVE YOU BABE IN EVERY KIND OF WAY JUST A LITTLE TASTE,joy
2022-05-20T04:03:17.000Z,terrible,fear
2022-05-20T04:03:17.000Z,You never gave me tix so ass,fear
2022-05-20T04:03:18.000Z,1. Okay Harold I see you! Such a vibee,joy
2022-05-20T04:03:18.000Z,THIS BASS LINE,fear
2022-05-20T04:03:18.000Z,oh it already ate,fear
2022-05-20T04:03:18.000Z,MUSIC FOR A SUSHI RESTAURANT Reminds me a little of the ant farm theme song? But In a good way???,joy
2022-05-20T04:03:18.000Z,I apologize in advance for the person I am about to become,sadness
2022-05-20T04:03:18.000Z,YAAAASS,joy
2022-05-20T04:03:19.000Z,OH MY GOD,surpise
2022-05-20T04:03:19.000Z,Omg it’s happening I’m listening haha what the fuck,joy
2022-05-20T04:03:19.000Z,meu top 3 do harry’s house: - Late Night Talking - Little Freak - Daydreaming,surpise
2022-05-20T04:03:19.000Z,OH MY GOD OH MY GOD OH MY GOD,surpise
2022-05-20T04:03:20.000Z,Got I’m on my period so I already know that the new album is gonna have me crying regardless,joy
2022-05-20T04:03:20.000Z,HS3 RIGHT NEOWWW,fear
2022-05-20T04:03:20.000Z,merry fucking christmas,joy
2022-05-20T04:03:20.000Z,ok spotify got their shit together IM GOONG IN AHHHHHH,surpise
2022-05-20T04:03:21.000Z,ALBUM OF THE YEAR ABSOLUTELY,fear
2022-05-20T04:03:21.000Z,the way Harry had me on the FIRST BREATH of track one,surpise
2022-05-20T04:03:21.000Z,already obsessed with music for a sushi restaurant,joy
2022-05-20T04:03:21.000Z,"THE DOLBY ATMOS ON APPLE MUSIC IS EATING RN, OH MY GOD",surpise
2022-05-20T04:03:21.000Z,it tanked already,joy
2022-05-20T04:03:21.000Z,HOLY HOLY IS AMAZING MUSIC FOR A SUSHI RESTAURANT&gt;&gt;&gt;,surpise
2022-05-20T04:03:21.000Z,oh nvm carry on lol,joy
2022-05-20T04:03:21.000Z,no bc music for a sushi rest is giving ant farm theme song,fear
2022-05-20T04:03:22.000Z,THE FRUITMAN IS HERE,joy
2022-05-20T04:03:22.000Z,Sorry not sorry for the person I have become bc is finally here!!!!,sadness
2022-05-20T04:03:23.000Z,MUSIC FOR A SUSHI RESTAURANT FUCKING BANGS OH MY GOD PLEASE THE FALSETTO??? THE SCATTING IN THE BACKGROUND??? THE HORNS!!!!!!!! HELLO I AM ON THE FLOOR.,surpise
2022-05-20T04:03:23.000Z,Hot daddy,sadness
2022-05-20T04:03:23.000Z,Sobre Daydreaming: HARRY STYLES ISSO ME PARECE MPB 🚨❤🚨🥰,fear
2022-05-20T04:03:23.000Z,It’s been like 2 seconds. Calm yourself,joy
2022-05-20T04:03:23.000Z,Music For a Sushi Restaurant: MAJOR PRINCE VIBES! his falsetto w/ harmonies are GORG. literally couldn’t think of a better opener for an album!!,surpise
2022-05-20T04:03:23.000Z,Oh. My. God.,surpise
2022-05-20T04:03:22.000Z,Deep breaths. third solo album has arrived. Listen in with Atmos:,surpise
2022-05-20T04:03:23.000Z,Kendrick would have done more with physicals,fear
2022-05-20T04:03:23.000Z,give me a ticket PLEASE,sadness
2022-05-20T04:03:23.000Z,if the staaarrrss were edible and our heaarrtss were never full could we live with just a taaassstte,joy
2022-05-20T04:03:24.000Z,my new form of therapy is out!,joy
2022-05-20T04:03:24.000Z,"Immaginate una casa silenziosa alle 5.00 am e mentre il mondo pian piano si sveglia tu stai con le cuffie, sul divano, ad ascoltare ad occhi chiusi Soli tu e lui. E il resto fuori.",sadness
2022-05-20T04:03:23.000Z,Harry's House sucks.... it's honestly boring and monotonic.... 😒I was hoping it'll sound more exciting...I was bored the whole time,sadness
2022-05-20T04:03:24.000Z,LETS GO,sadness
2022-05-20T04:03:24.000Z,I've never had sushi before but I think I will soon,surpise
2022-05-20T04:03:23.000Z,YESSSSSSSSS OH MY GOD IM SHAKING IM SO EXCITED,sadness
2022-05-20T04:03:24.000Z,1st song eating already omg….,fear
2022-05-20T04:03:25.000Z,THAT BASS LIIIIIIIIIINE,joy
2022-05-20T04:03:25.000Z,"Here we go. Who needs sleep?! Also, this first song is giving me some vibes which I’m loving!!! My boyband loving heart is so happy. Congrats on",joy
2022-05-20T04:03:25.000Z,i love it hereeeee,joy
2022-05-20T04:03:25.000Z,This is the perfect opener for the album,sadness
2022-05-20T04:03:25.000Z,Daqui a 1 semana eu volto com meu novo ranking para 1- DayLight 2- DayDreaming 3- Love if My Life 4- Late Night Talking 5- Cinema 6- As It Was 7- Boyfriends 8- Music for a Sushi Restaurant 9- Satellite 10- Keep Driving 11- Little Freak 12- Matilda 13- GrapeJuice,fear
2022-05-20T04:03:25.000Z,Mi Spotify no sirve o queeeeee?,joy
2022-05-20T04:03:26.000Z,MUSIC FOR A SUSHI RESTURANT,joy
2022-05-20T04:03:26.000Z,Welcome Home. is out now.,joy
2022-05-20T04:03:26.000Z,SUSHI IS SO GOOD FUCKKKK,joy
2022-05-20T04:03:26.000Z,☣️ CHECK OUT MY MUSIC☢️,joy
2022-05-20T04:03:27.000Z,Such a fuckin vibe!!!,joy
2022-05-20T04:03:27.000Z,here we go 🙏🏻,joy
2022-05-20T04:03:27.000Z,AHHHHHAHAHAHAKSKAKAKQ,joy
2022-05-20T04:03:27.000Z,GOOD BUT BETTER IF U GAVE ME TIX,joy
2022-05-20T04:03:26.000Z,Trying to open but Spotify hates me,sadness
2022-05-20T04:03:27.000Z,Apple Music is covered all with Harry,fear
2022-05-20T04:03:28.000Z,Update: IT’S WORKING!!,fear
2022-05-20T04:03:28.000Z,"laterrrrrrr, i’ll be busy for the rest of the night",fear
2022-05-20T04:03:28.000Z,1 second and I’m loving it JESUS THIS MAN CAN DO EVERYTHING,joy
2022-05-20T04:03:28.000Z,AAAAHHHHH IT'S OUT!! IT'S OUT AND IT'S ALREADY INCREDIBLE PLEASE AAWEHFAHEI,surpise
2022-05-20T04:03:29.000Z,MUSIC FOR A SUSHIE RESTAURANT?!??? STFUUUU OMGGGGG,joy
2022-05-20T04:03:29.000Z,annoying bitches going crazy rn,fear
2022-05-20T04:03:29.000Z,meu primeiro top de 1. matilda 2. daylight 3. daydreaming 4. little freak 5. cinema 6. satellite 7. grapejuice 8. love of my life 9. as it was 10. late night talking 11. music for a sushi restaurant 12. boyfriends 13. keep driving,fear
2022-05-20T04:03:29.000Z,THE INTRO??? THIS SONF ON NOISE CANCELLIJG HEADPHONES BITCH THISNJUST WENT IN AND OUT MY BUTTHOLE,fear
2022-05-20T04:03:29.000Z,SPOTIFY WHERE IS HE,joy
2022-05-20T04:03:29.000Z,"is so SO good, so beautiful. And it's not what I was expecting at all, it's so much better. I'm totally blown away. you're incredible and truly a unique gift to this world. I'm so thankful for you and your music, and I'm so so proud of you! Love you",joy
2022-05-20T04:03:28.000Z,MUSIC FOR A SUSHI RES SLAPS SOO HARD,anger
2022-05-20T04:03:29.000Z,REACTION THREAD,joy
2022-05-20T04:03:29.000Z,OH MY GODH. MUSIC FOR A SUSHI RESTAURANT🔥🔥🔥🔥,joy
2022-05-20T04:03:30.000Z,PROUD OF HARRY,joy
2022-05-20T04:03:30.000Z,WHAT IS THIS HARRY,fear
