time,tot joy,tot surprise,tot sadness,tot anger,tot fear
06:03:00,148,53,36,7,60
06:04:00,197,58,46,2,54
06:05:00,206,46,51,11,61
06:06:00,194,49,60,5,78
06:07:00,195,43,57,8,48
06:08:00,191,48,58,11,41
06:09:00,161,35,46,5,53
06:10:00,159,40,60,6,55
06:11:00,214,61,68,10,53
06:12:00,187,43,47,12,52
06:13:00,179,41,49,6,48
06:14:00,201,53,51,6,39
06:15:00,177,43,46,3,42
06:16:00,188,47,40,16,55
06:17:00,176,60,52,13,35
06:18:00,179,59,43,8,71
06:19:00,188,54,47,17,46
06:20:00,198,56,57,12,54
06:21:00,210,58,51,10,58
06:22:00,201,50,52,13,54
06:23:00,193,49,49,12,49
06:24:00,166,49,51,9,61
06:25:00,153,37,44,8,47
06:26:00,174,51,63,22,49
06:27:00,178,39,54,7,51
06:28:00,303,62,76,11,91
06:29:00,237,43,47,8,64
06:30:00,234,50,57,4,63
06:31:00,194,49,41,11,70
06:32:00,169,34,45,12,72
06:33:00,175,54,38,10,57
06:34:00,184,64,39,15,60
06:35:00,164,52,45,6,56
06:36:00,186,44,44,14,50
06:37:00,155,50,39,8,55
06:38:00,154,51,53,11,53
06:39:00,121,61,46,8,40
06:40:00,153,43,38,6,33
06:41:00,155,54,35,7,42
06:42:00,126,55,58,21,60
06:43:00,187,61,63,17,56
06:44:00,151,60,39,11,50
06:45:00,169,63,49,6,73
06:46:00,145,51,35,12,56
06:47:00,158,62,43,8,53
06:48:00,146,64,44,7,41
06:49:00,140,59,45,11,59
06:50:00,148,50,33,6,45
06:51:00,184,58,48,7,42
06:52:00,167,58,38,11,62
06:53:00,147,43,32,8,45
06:54:00,153,37,41,10,61
06:55:00,117,49,34,4,56
06:56:00,118,37,29,7,45
06:57:00,117,30,27,10,43
06:58:00,102,33,28,6,41
06:59:00,89,28,31,12,32
07:00:00,88,27,45,7,63
07:01:00,104,30,32,4,68
07:02:00,113,43,38,4,49
07:03:00,125,35,26,6,43
07:04:00,113,30,31,6,28
07:05:00,113,42,34,6,38
07:06:00,103,32,44,6,37
07:07:00,105,28,25,4,66
07:08:00,110,31,33,9,37
07:09:00,104,23,33,4,28
07:10:00,100,22,30,0,22
07:11:00,83,20,26,10,40
07:12:00,98,28,37,5,33
07:13:00,84,25,31,8,28
07:14:00,120,40,28,3,35
07:15:00,127,39,43,5,26
07:16:00,97,38,32,4,30
07:17:00,92,19,35,2,20
07:18:00,83,28,27,5,32
07:19:00,97,23,22,3,42
07:20:00,107,39,27,9,35
07:21:00,85,22,31,2,35
07:22:00,102,34,24,6,24
07:23:00,83,29,31,4,42
07:24:00,97,32,24,4,32
07:25:00,142,32,19,4,41
07:26:00,144,35,37,6,64
07:27:00,214,29,40,3,72
07:28:00,138,29,35,10,64
07:29:00,135,30,36,5,55
07:30:00,121,24,38,4,44
07:31:00,101,25,27,6,49
07:32:00,93,29,25,3,43
07:33:00,100,20,26,5,43
07:34:00,98,20,27,7,41
07:35:00,94,27,25,5,35
07:36:00,83,21,31,7,23
07:37:00,67,22,21,3,43
07:38:00,69,21,25,3,21
07:39:00,67,14,27,8,28
07:40:00,64,11,21,2,26
07:41:00,67,18,24,4,22
07:42:00,85,19,17,5,31
07:43:00,68,17,33,0,32
07:44:00,42,13,21,3,26
07:45:00,57,22,26,2,23
07:46:00,51,18,23,2,19
07:47:00,48,14,25,5,14
07:48:00,49,21,16,4,32
07:49:00,56,15,15,6,18
07:50:00,45,25,18,5,20
07:51:00,40,21,21,1,15
07:52:00,53,12,17,2,26
07:53:00,46,16,19,4,19
07:54:00,49,15,18,5,13
07:55:00,36,14,15,2,16
07:56:00,41,16,17,1,11
07:57:00,42,16,14,0,22
07:58:00,43,11,15,1,20
07:59:00,43,16,10,1,14
08:00:00,56,9,29,1,18
08:01:00,38,9,20,0,13
08:02:00,45,9,14,2,15
08:03:00,39,10,8,5,18
08:04:00,48,10,13,4,11
08:05:00,47,7,12,3,17
08:06:00,43,11,12,3,15
08:07:00,46,7,8,5,17
08:08:00,29,8,8,2,9
08:09:00,44,14,12,6,5
08:10:00,27,9,12,6,18
08:11:00,38,14,7,2,14
08:12:00,30,8,8,1,11
08:13:00,32,8,12,0,12
08:14:00,43,9,13,1,15
08:15:00,27,8,7,0,16
08:16:00,39,15,14,4,13
