created_at,text,sentiment
"['2022-05-20T04:03:10.000Z', 'cried my eyes out, this song is so personal to me. thank you \U0001faf6🏼', 'positive']"
"['2022-05-20T04:03:11.000Z', 'SO REAL', 'neutral']"
"['2022-05-20T04:03:11.000Z', 'HERE WE GOO!!! Music for a sushi restaurant ❤️', 'positive']"
"['2022-05-20T04:03:11.000Z', 'Already ended everbore', 'neutral']"
"['2022-05-20T04:03:11.000Z', 'WELCOMEEE TO !!!!', 'positive']"
"['2022-05-20T04:03:12.000Z', 'WHAT A SONG TO START THE ALBUM WITH WOW', 'positive']"
"['2022-05-20T04:03:12.000Z', 'not even one song in and it’s already so good', 'positive']"
"['2022-05-20T04:03:12.000Z', 'Lolzzz', 'positive']"
"['2022-05-20T04:03:12.000Z', 'Screaming crying and throwing up rn!!!!!!!', 'negative']"
"['2022-05-20T04:03:12.000Z', 'The way that spotify just CRASHED 💀', 'negative']"
"['2022-05-20T04:03:12.000Z', 'Omg it’s finally here time to start listening to it', 'positive']"
"['2022-05-20T04:03:12.000Z', 'IM MOANING OH MY GOD WHAT THE FUCK MUSIC FOR A SUSHI RESTAURANT ????3?3&amp;:8593$,:&amp;2&amp;’hrbhth feb jet', 'negative']"
"['2022-05-20T04:03:13.000Z', 'Music For A Sushi Restaurant', 'neutral']"
"['2022-05-20T04:03:13.000Z', 'Not Spotify crashing 😩', 'negative']"
"['2022-05-20T04:03:13.000Z', 'Spotify why are you doing this to me? 😭', 'negative']"
"['2022-05-20T04:03:13.000Z', 'AAAAAA IT SOUNDS SO FUCKING GOOD ALREADY', 'positive']"
"['2022-05-20T04:03:13.000Z', ""he's so hot"", 'positive']"
"['2022-05-20T04:03:14.000Z', '15 seconds into music for a sushi restaurant and i’m currently', 'neutral']"
"['2022-05-20T04:03:14.000Z', 'Im watching the YouTube live and im speechless', 'neutral']"
"['2022-05-20T04:03:15.000Z', 'I CAN COOK AN EGG ON YOU ?!?', 'neutral']"
"['2022-05-20T04:03:15.000Z', ""It's incredibleee"", 'positive']"
"['2022-05-20T04:03:14.000Z', ""this is nicki's fault"", 'negative']"
"['2022-05-20T04:03:15.000Z', ""You know that the album is so good when you are struggling to pick a favorite song is a masterpiece I'm in love with it already"", 'positive']"
"['2022-05-20T04:03:15.000Z', 'Luv u boyfriend 🐚🐚', 'positive']"
"['2022-05-20T04:03:15.000Z', ""oh it's not 174k for sure"", 'neutral']"
"['2022-05-20T04:03:15.000Z', 'flop', 'negative']"
"['2022-05-20T04:03:15.000Z', ""There's one here but i work all weekend and can't go 😭"", 'negative']"
"['2022-05-20T04:03:15.000Z', 'HS3 IS HERE', 'neutral']"
"['2022-05-20T04:03:15.000Z', ""Harry's House. That's it."", 'neutral']"
"['2022-05-20T04:03:15.000Z', 'and he meant every word', 'neutral']"
"['2022-05-20T04:03:15.000Z', 'Not this…', 'negative']"
"['2022-05-20T04:03:16.000Z', 'Here we go everyone. I’m already screaming !!!!', 'positive']"
"['2022-05-20T04:03:16.000Z', 'OHMY FUCKKK', 'negative']"
"['2022-05-20T04:03:16.000Z', 'reaction thread', 'neutral']"
"['2022-05-20T04:03:16.000Z', 'IM ACTUALLY CRYING', 'negative']"
"['2022-05-20T04:03:16.000Z', 'SO SAD', 'negative']"
"['2022-05-20T04:03:16.000Z', 'HARRY EXPLAIN THIS', 'neutral']"
"['2022-05-20T04:03:16.000Z', ""I'm too sleepy for this right now."", 'negative']"
"['2022-05-20T04:03:16.000Z', 'It’s out now!!!', 'positive']"
"['2022-05-20T04:03:17.000Z', 'i already know if the album is already starting out this good it’s gonna get sad asap god damn it', 'negative']"
"['2022-05-20T04:03:17.000Z', 'OMG SUSHI REALLY DOES SOUND LIKE THE ANT FARM THEME SONG', 'neutral']"
"['2022-05-20T04:03:17.000Z', 'not everyone’s spotify crashing rn from the release😭😭', 'neutral']"
"['2022-05-20T04:03:17.000Z', 'I am faster than the wind!!', 'positive']"
"['2022-05-20T04:03:17.000Z', 'MUSIC FOR A SUSHI RESTAURANT IS SO MUCH FUN WHAT A GREAT FIRST SONG', 'positive']"
"['2022-05-20T04:03:17.000Z', 'Harry Styles has returned with his third studio album,', 'neutral']"
"['2022-05-20T04:03:17.000Z', 'YALL BROKE SPOTIFY', 'negative']"
"['2022-05-20T04:03:17.000Z', 'worst album ever', 'negative']"
"['2022-05-20T04:03:17.000Z', 'ITS CAUSE I LOVE YOU BABE IN EVERY KIND OF WAY JUST A LITTLE TASTE', 'positive']"
"['2022-05-20T04:03:17.000Z', 'terrible', 'negative']"
"['2022-05-20T04:03:17.000Z', 'You never gave me tix so ass', 'negative']"
"['2022-05-20T04:03:18.000Z', '1. Okay Harold I see you! Such a vibee', 'positive']"
"['2022-05-20T04:03:18.000Z', 'THIS BASS LINE', 'neutral']"
"['2022-05-20T04:03:18.000Z', 'oh it already ate', 'neutral']"
"['2022-05-20T04:03:18.000Z', 'MUSIC FOR A SUSHI RESTAURANT Reminds me a little of the ant farm theme song? But In a good way???', 'positive']"
"['2022-05-20T04:03:18.000Z', 'I apologize in advance for the person I am about to become', 'negative']"
"['2022-05-20T04:03:18.000Z', 'YAAAASS', 'neutral']"
"['2022-05-20T04:03:19.000Z', 'OH MY GOD', 'negative']"
"['2022-05-20T04:03:19.000Z', 'Omg it’s happening I’m listening haha what the fuck', 'negative']"
