,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",7680441,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Ojitos Lindos","Bad Bunny",5254658,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
3,"Moscow Mule","Bad Bunny",5159217,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
4,"Me Porto Bonito","Bad Bunny",4896317,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,N95,"Kendrick Lamar",4560888,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
6,"Tití Me Preguntó","Bad Bunny",4245101,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
7,"First Class","Jack Harlow",4133365,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
8,Party,"Bad Bunny",3899616,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"About Damn Time",Lizzo,3607143,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
10,PROVENZA,"KAROL G",3547247,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
11,"Heat Waves","Glass Animals",3418874,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
12,"Die Hard","Kendrick Lamar",3380746,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
13,Tarot,"Bad Bunny",3034446,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
14,"Después de la Playa","Bad Bunny",3003006,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
15,"STAY (with Justin Bieber)","The Kid LAROI",2782906,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
16,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2750261,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
17,"Un Ratito","Bad Bunny",2565151,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
18,"United In Grief","Kendrick Lamar",2559187,https://open.spotify.com/track/05zd5Nv0e02ZqrlC8A2cwx
19,"Father Time (feat. Sampha)","Kendrick Lamar",2468592,https://open.spotify.com/track/4xIhSUJantE6BMl3u8dtCJ
