,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",3624190,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"First Class","Jack Harlow",2942542,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
3,"About Damn Time",Lizzo,2704182,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
4,Starlight,Dave,2167862,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
5,"WAIT FOR U (feat. Drake & Tems)",Future,1791168,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
6,Baby,Aitch,1745578,https://open.spotify.com/track/3pudQCMnsFGwOElTZmuml8
7,"Heat Waves","Glass Animals",1654162,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
8,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",1519547,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
9,"Where Are You Now","Lost Frequencies",1459558,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
10,"go - goddard. Remix","Cat Burns",1373333,https://open.spotify.com/track/7kjANxR8XN4hCzLaSc2roy
11,"Where Did You Go? (feat. MNEK)","Jax Jones",1330851,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
12,"Churchill Downs (feat. Drake)","Jack Harlow",1224935,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
13,Shivers,"Ed Sheeran",1218741,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
14,"Seventeen Going Under","Sam Fender",1190690,https://open.spotify.com/track/5rF6YUIlgiat22OT1lWspJ
15,"Make Me Feel Good","Belters Only",1188039,https://open.spotify.com/track/4CUX44NA1CPEzd0ibMLQsL
16,Peru,"Fireboy DML",1178493,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
17,go,"Cat Burns",1152030,https://open.spotify.com/track/4VtRHZ4tBDHaWltVAytlLY
18,"Night Away (Dance) (feat. Tion Wayne)","A1 x J1",1099751,https://open.spotify.com/track/7z5G2LOdV8okZn4yWg3q5g
19,"Down Under (feat. Colin Hay)",Luude,1099653,https://open.spotify.com/track/3Oww84xrmgjyr5J1ilOmAf
20,"Bad Habits","Ed Sheeran",1094594,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
21,"Cold Heart - PNAU Remix","Elton John",1038742,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
22,"The Heart Part 5","Kendrick Lamar",1004397,https://open.spotify.com/track/5MMW4CZsZiZt2iuqAXzzWC
23,"Reggae & Calypso (Russ Millions x Buni x YV)","Russ Millions",998133,https://open.spotify.com/track/3FMedgGsLUNwx8NciePFEK
24,Flowers,"Lauren Spencer-Smith",983049,https://open.spotify.com/track/6Z165JvPnS8PYvGW8oLGLc
25,"she's all i wanna be","Tate McRae",964863,https://open.spotify.com/track/0IuVhCflrQPMGRrOyoY5RW
26,"STAY (with Justin Bieber)","The Kid LAROI",957045,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
27,"good 4 u","Olivia Rodrigo",944866,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
