,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",57385688,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
2,"Moscow Mule","Bad Bunny",51387060,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
3,"Me Porto Bonito","Bad Bunny",38454334,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
4,"Ojitos Lindos","Bad Bunny",38207348,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
5,"Tití Me Preguntó","Bad Bunny",35141825,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
6,Party,"Bad Bunny",34175557,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
7,"Después de la Playa","Bad Bunny",34102478,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
8,"First Class","Jack Harlow",33973445,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
9,Tarot,"Bad Bunny",31952895,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
10,"Un Ratito","Bad Bunny",29179148,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
11,"Yo No Soy Celoso","Bad Bunny",26785831,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
12,PROVENZA,"KAROL G",26685343,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
13,"Heat Waves","Glass Animals",25889513,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
14,"Me Fui de Vacaciones","Bad Bunny",25735690,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
15,Neverita,"Bad Bunny",24810933,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
16,"About Damn Time",Lizzo,24416367,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
17,"La Corriente","Bad Bunny",24143589,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
18,Efecto,"Bad Bunny",22990841,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
19,"Dos Mil 16","Bad Bunny",22964487,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
20,"Un Verano Sin Ti","Bad Bunny",22085111,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
21,Andrea,"Bad Bunny",20944879,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
22,Aguacero,"Bad Bunny",20922222,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
23,"STAY (with Justin Bieber)","The Kid LAROI",20786223,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,"Otro Atardecer","Bad Bunny",20727239,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
25,"Un Coco","Bad Bunny",20405953,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
26,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",20257207,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
27,"Enséñame a Bailar","Bad Bunny",19758937,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
28,"El Apagón","Bad Bunny",18620094,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
29,"Cold Heart - PNAU Remix","Elton John",18099556,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
30,Agosto,"Bad Bunny",17716688,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
31,"MIDDLE OF THE NIGHT","Elley Duhé",17463521,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",17032657,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
33,Callaita,"Bad Bunny",16946832,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",16786541,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
35,MAMIII,"Becky G",16193657,https://open.spotify.com/track/1ri9ZUkBJVFUdgwzCnfcYs
36,"Una Noche en Medellín","Cris Mj",16173181,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
37,"Dua Lipa","Jack Harlow",15731952,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
38,"WAIT FOR U (feat. Drake & Tems)",Future,15716903,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
39,Ghost,"Justin Bieber",15714419,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
