,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"First Class","Jack Harlow",11935617,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
2,"Moscow Mule","Bad Bunny",11593667,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
3,"As It Was","Harry Styles",11415536,https://open.spotify.com/track/4LRPiXqCikLlN15c3yImP7
4,"Tití Me Preguntó","Bad Bunny",10109435,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
5,"Después de la Playa","Bad Bunny",10074903,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
6,"Me Porto Bonito","Bad Bunny",9292409,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
7,"About Damn Time",Lizzo,8506946,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
8,Party,"Bad Bunny",8365249,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
9,"Dua Lipa","Jack Harlow",7845337,https://open.spotify.com/track/0LnS7aOdOdI1dNKZqdOLz4
10,"Un Ratito","Bad Bunny",7549708,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
11,Tarot,"Bad Bunny",7520978,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
12,"Yo No Soy Celoso","Bad Bunny",7115030,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
13,"WAIT FOR U (feat. Drake & Tems)",Future,6878139,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
14,"Ojitos Lindos","Bad Bunny",6562788,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
15,"The Heart Part 5","Kendrick Lamar",6534583,https://open.spotify.com/track/5MMW4CZsZiZt2iuqAXzzWC
16,Neverita,"Bad Bunny",6365486,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
17,"La Corriente","Bad Bunny",6169657,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
18,"Thought You Should Know","Morgan Wallen",6103635,https://open.spotify.com/track/6NHpyYvJyQsg2nXXzGYc2R
19,Efecto,"Bad Bunny",5930485,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
20,"PUFFIN ON ZOOTIEZ",Future,5842616,https://open.spotify.com/track/1qMMYpVatbRITKCfq1gasi
21,"Churchill Downs (feat. Drake)","Jack Harlow",5783912,https://open.spotify.com/track/3EMp20j5E42MxfFbsEsIvD
22,"Heat Waves","Glass Animals",5711734,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
23,"Otro Atardecer","Bad Bunny",5369667,https://open.spotify.com/track/0E0DRHf5PfMeor0ZCwB3oT
24,Aguacero,"Bad Bunny",5344094,https://open.spotify.com/track/2uflssWlCaJ6CbTMOsUpNI
25,"Dos Mil 16","Bad Bunny",5263482,https://open.spotify.com/track/4d4ZXH4dr5bYfgErHiZCX2
26,"El Apagón","Bad Bunny",5176140,https://open.spotify.com/track/0UvZcEfpzVyx47QsRbjyBz
27,Andrea,"Bad Bunny",4981133,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
28,"Un Coco","Bad Bunny",4889574,https://open.spotify.com/track/6VrQTLzzuyGIYjUDe4kAZk
29,"Enséñame a Bailar","Bad Bunny",4886182,https://open.spotify.com/track/2NMjggapJcXXM7WccGEBUO
30,"Me Fui de Vacaciones","Bad Bunny",4868322,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
31,"Un Verano Sin Ti","Bad Bunny",4769165,https://open.spotify.com/track/18HOjcvTVV7W8YzBuOsAPS
32,PROVENZA,"KAROL G",4679568,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
33,"This Love (Taylor’s Version)","Taylor Swift",4675684,https://open.spotify.com/track/4d1CG5ei1E2vGbvmgf5KKv
34,Callaita,"Bad Bunny",4236075,https://open.spotify.com/track/71wFwRo8xGc4lrcyKwsvba
35,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",4161118,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
36,Agosto,"Bad Bunny",4099000,https://open.spotify.com/track/0wihfILRNOwE2156Shezc8
37,"STAY (with Justin Bieber)","The Kid LAROI",3905574,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
