,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",10179769,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",6422002,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Ojitos Lindos","Bad Bunny",5139375,https://open.spotify.com/track/3k3NWokhRRkEPhCzPmV8TW
4,"Me Porto Bonito","Bad Bunny",5037578,https://open.spotify.com/track/6Sq7ltF9Qa7SNFBsV5Cogx
5,Matilda,"Harry Styles",5033630,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
6,"Music For a Sushi Restaurant","Harry Styles",4608732,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
7,"Moscow Mule","Bad Bunny",4537882,https://open.spotify.com/track/6Xom58OOXk2SoU711L2IXO
8,"Little Freak","Harry Styles",4377806,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
9,"Tití Me Preguntó","Bad Bunny",4227108,https://open.spotify.com/track/1IHWl5LamUGEuP4ozKQSXZ
10,Daylight,"Harry Styles",4153653,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
11,Grapejuice,"Harry Styles",4005866,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
12,Satellite,"Harry Styles",3783483,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
13,Party,"Bad Bunny",3659839,https://open.spotify.com/track/4tYFy8ALRjIZvnvSLw5lxN
14,Cinema,"Harry Styles",3647242,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
15,"Love Of My Life","Harry Styles",3631170,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
16,Daydreaming,"Harry Styles",3531962,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
17,"About Damn Time",Lizzo,3523447,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
18,"First Class","Jack Harlow",3507154,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
19,"Keep Driving","Harry Styles",3465367,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
20,"Heat Waves","Glass Animals",3295877,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,PROVENZA,"KAROL G",3286538,https://open.spotify.com/track/7dSZ6zGTQx66c2GF91xCrb
22,Boyfriends,"Harry Styles",3134018,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
23,"STAY (with Justin Bieber)","The Kid LAROI",2742443,https://open.spotify.com/track/5PjdY0CKGZdEuoNab3yDmX
24,N95,"Kendrick Lamar",2736360,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
25,Tarot,"Bad Bunny",2681499,https://open.spotify.com/track/41oY4WCTj5kccfesTVFnvN
26,"Después de la Playa","Bad Bunny",2631268,https://open.spotify.com/track/1dm6z1fWB0cErMszU25dy2
27,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",2594209,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
28,Efecto,"Bad Bunny",2444271,https://open.spotify.com/track/5Eax0qFko2dh7Rl2lYs3bx
29,"MIDDLE OF THE NIGHT","Elley Duhé",2432741,https://open.spotify.com/track/58HvfVOeJY7lUuCqF0m3ly
30,"Un Ratito","Bad Bunny",2316420,https://open.spotify.com/track/5CzixCxDkRXX9mScCmah8O
31,"Cold Heart - PNAU Remix","Elton John",2276641,https://open.spotify.com/track/6JIC3hbC28JZKZ8AlAqX8h
32,"Enemy (with JID) - from the series Arcane League of Legends","Imagine Dragons",2136883,https://open.spotify.com/track/1HhNoOuqm1a5MXYEgAFl8o
33,Ghost,"Justin Bieber",2072605,https://open.spotify.com/track/6I3mqTwhRpn34SLVafSH7G
34,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",2066934,https://open.spotify.com/track/5Z9KJZvQzH6PFmb8SNkxuk
35,MAMIII,"Becky G",2042902,https://open.spotify.com/track/7FlQk2gJ6TBrHHiidvdR2O
36,"Die Hard","Kendrick Lamar",2030060,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
37,"Una Noche en Medellín","Cris Mj",2010773,https://open.spotify.com/track/1O2pcBJGej0pmH2Y9XZMs6
38,"Yo No Soy Celoso","Bad Bunny",2010145,https://open.spotify.com/track/5kVZxyMY1gfdCLiChsfjn1
39,Woman,"Doja Cat",1944324,https://open.spotify.com/track/6Uj1ctrBOjOas8xZXGqKk4
40,"Me Fui de Vacaciones","Bad Bunny",1921623,https://open.spotify.com/track/28GCbKgjlVD9eDmasGbe0T
41,Neverita,"Bad Bunny",1917605,https://open.spotify.com/track/31i56LZnwE6uSu3exoHjtB
42,"Cooped Up (with Roddy Ricch)","Post Malone",1879376,https://open.spotify.com/track/7DwcBgdzqhFJltEaV1XF81
43,"WAIT FOR U (feat. Drake & Tems)",Future,1876969,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
44,Shivers,"Ed Sheeran",1827729,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
45,"La Corriente","Bad Bunny",1820587,https://open.spotify.com/track/1797zYiX4cKosMH836X9Gt
46,Andrea,"Bad Bunny",1765028,https://open.spotify.com/track/44XjoNvtwevktFKjvVe1vH
47,Desesperados,"Rauw Alejandro",1741292,https://open.spotify.com/track/6mmPpaltUZK7xjNlBPQQ0p
