,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,"As It Was","Harry Styles",5232704,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
2,"Late Night Talking","Harry Styles",3819759,https://open.spotify.com/track/1qEmFfgcLObUfQm0j1W2CK
3,"Music For a Sushi Restaurant","Harry Styles",3375309,https://open.spotify.com/track/5LYMamLv12UPbemOaTPyeV
4,Matilda,"Harry Styles",3230042,https://open.spotify.com/track/6uvh0In7u1Xn4HgxOfAn8O
5,"Little Freak","Harry Styles",2804261,https://open.spotify.com/track/3i058E8uxTsYqJ5NWZzqSj
6,Grapejuice,"Harry Styles",2677874,https://open.spotify.com/track/4j6kId9QIqhoXvqHKgSKa0
7,Daylight,"Harry Styles",2632005,https://open.spotify.com/track/51Zw1cKDgkad0CXv23HCMU
8,"About Damn Time",Lizzo,2449923,https://open.spotify.com/track/1PckUlxKqWQs3RlWXVBLw3
9,Cinema,"Harry Styles",2386756,https://open.spotify.com/track/35TyJIMR3xRouUuo2sjS6v
10,Satellite,"Harry Styles",2338709,https://open.spotify.com/track/0rzaRSujxA0bKyjJl6vHYq
11,"Keep Driving","Harry Styles",2294356,https://open.spotify.com/track/2NcQic8JxdjAlAHuNbOIRE
12,Daydreaming,"Harry Styles",2285802,https://open.spotify.com/track/69w5X6uTrOaWM32IetSzvO
13,"Love Of My Life","Harry Styles",2209907,https://open.spotify.com/track/1mw0RgNXIpYRyyCdBQbLgA
14,"First Class","Jack Harlow",2118519,https://open.spotify.com/track/0wHFktze2PHC5jDt3B17DC
15,Boyfriends,"Harry Styles",1976992,https://open.spotify.com/track/6qj02zSeEJGWZ4c0dn5QzJ
16,Starlight,Dave,1758071,https://open.spotify.com/track/531KGXtBroSrOX9LVmiIgc
17,IFTK,"Tion Wayne",1637393,https://open.spotify.com/track/7u3w4fQhulC1etJbdfmv3Q
18,"SPACE MAN","Sam Ryder",1558662,https://open.spotify.com/track/3nhGk6VnrDHy67pXvMhdPa
19,"WAIT FOR U (feat. Drake & Tems)",Future,1546421,https://open.spotify.com/track/59nOXPmaKlBfGMDeOVGrIK
20,"Heat Waves","Glass Animals",1480586,https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx
21,Baby,Aitch,1462634,https://open.spotify.com/track/3pudQCMnsFGwOElTZmuml8
22,"go - goddard. Remix","Cat Burns",1371936,https://open.spotify.com/track/7kjANxR8XN4hCzLaSc2roy
23,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",1357105,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
24,"Where Are You Now","Lost Frequencies",1277510,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
25,N95,"Kendrick Lamar",1246431,https://open.spotify.com/track/2FeBslNBMdR9V58uv6hd2t
26,"Where Did You Go? (feat. MNEK)","Jax Jones",1189887,https://open.spotify.com/track/3sa06xVNmLLYIxdNNmVQN8
27,"Die Hard","Kendrick Lamar",1187630,https://open.spotify.com/track/6gI9b2VsoWhjhIuIeToDVs
28,Shivers,"Ed Sheeran",1122289,https://open.spotify.com/track/50nfwKoDiSYg8zOCREWAm5
29,"Bad Habits","Ed Sheeran",1019774,https://open.spotify.com/track/3rmo8F54jFF8OgYsqTxm5d
30,Peru,"Fireboy DML",1016923,https://open.spotify.com/track/4hJhHbkhZFnxmWbAkZRoe0
31,"Make Me Feel Good","Belters Only",1001834,https://open.spotify.com/track/4CUX44NA1CPEzd0ibMLQsL
32,"Seventeen Going Under","Sam Fender",980966,https://open.spotify.com/track/5rF6YUIlgiat22OT1lWspJ
33,"Crazy What Love Can Do","David Guetta",979972,https://open.spotify.com/track/1WCEAGGRD066z2Q89ObXTq
34,"Je M'appelle",Benzz,969245,https://open.spotify.com/track/6A3SB2C4U6JtCavQOXLYNN
