,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
1,Shakerando,Rhove,2771193,https://open.spotify.com/track/4EC028SvtlC25iHQSG2OIa
2,"I love you baby",Jovanotti,2091380,https://open.spotify.com/track/1v9ABGLSpdhPDEWyQ10NFD
3,"As It Was","Harry Styles",2047389,https://open.spotify.com/track/4Dvkj6JhhA12EX05fT7y2e
4,"BABY GODDAMN",Tananai,1882899,https://open.spotify.com/track/3yWHQ4n4ARLDfYTuT2NhnN
5,"5 Gocce (feat. Rkomi)",Irama,1863712,https://open.spotify.com/track/3z0GeNGWyVduziP1cQ0mFN
6,Brividi,Mahmood,1648855,https://open.spotify.com/track/1ZMGp9MTXbtAPvcKa0U3zS
7,"USCITO DI GALERA",Lazza,1623552,https://open.spotify.com/track/01DXwNf1GzEJkYTbXgL0eb
8,"LA CODA DEL DIAVOLO (con ELODIE)",Rkomi,1597449,https://open.spotify.com/track/6oYcyS6salzWI1ysjEScFh
9,"Mamma Mia","Sfera Ebbasta",1541670,https://open.spotify.com/track/7d7xucQmFY7PoESyJm2V9J
10,"Finché Non Mi Seppelliscono",BLANCO,1437619,https://open.spotify.com/track/16EJNayKtC09M0Fi7Py47s
11,"Bagno a mezzanotte",Elodie,1430991,https://open.spotify.com/track/5KkcthkQDnlhQN0WhO8DsM
12,Cancelo,Rhove,1348516,https://open.spotify.com/track/4lstxdn27jZqnTuyaLeJfq
13,PARTENOPE,LIBERATO,1346633,https://open.spotify.com/track/60NC3OqjiISKBYbscb8vW3
14,"PIOVE (feat. Sfera Ebbasta)",Lazza,1227280,https://open.spotify.com/track/6BUueuMQR4k7CuoMEsnGou
15,Propaganda,"Fabri Fibra",1211067,https://open.spotify.com/track/6t0ovtgnoAq9orbnisSzZp
16,farfalle,sangiovanni,1183426,https://open.spotify.com/track/32KxxVUfXnbdujTh5DGmgu
17,"Thick (feat. MamboLosco) - Remix",Slings,1175042,https://open.spotify.com/track/08ITDCl9UvAAGzzIOwo4h4
18,SUPERMODEL,Måneskin,1152818,https://open.spotify.com/track/63WuQOXohQIxOxIFA2K7bR
19,"Pensando a lei",Shiva,1108923,https://open.spotify.com/track/4Yi4RRhp3nfKR1FDbXlHBp
20,"Ciao Baby",Gemitaiz,1053563,https://open.spotify.com/track/0tE8LYz08MdcV8UZUa1YVV
21,"MI FAI IMPAZZIRE",BLANCO,1029765,https://open.spotify.com/track/1x3Qb8np6S1UvpSLthwEJN
22,MOLOTOV,Lazza,1026205,https://open.spotify.com/track/6SQmh0L5icrThwGDTeLkg1
23,"Dove Si Balla","Dargen D'Amico",1020536,https://open.spotify.com/track/5a6ABzVhqgVKI1znaI9tar
24,"LAPROVINCE #2",Rhove,999038,https://open.spotify.com/track/3eBjQXQ5CuRaUbKXj9WIVJ
25,"Bam Bam (feat. Ed Sheeran)","Camila Cabello",959655,https://open.spotify.com/track/2DB4DdfCFMw1iaR6JaR03a
26,"Notti In Bianco",BLANCO,950452,https://open.spotify.com/track/1PWOkqMORYdGa0OEh2GaXM
27,"∞ LOVE (feat. Guè)",Marracash,949036,https://open.spotify.com/track/0HhSB4nAJpI5expWnZL199
28,"Where Are You Now","Lost Frequencies",947000,https://open.spotify.com/track/3uUuGVFu1V7jTQL60S1r8z
29,INSUPERABILE,Rkomi,930949,https://open.spotify.com/track/0GsZZWhBMIQXAmPYPJ3PRQ
30,"PANICO (feat. Takagi & Ketra)",Lazza,923272,https://open.spotify.com/track/0SsUOrXUM2gZxVLYizZfQZ
31,"Mi Fiderò (feat. Madame)","Marco Mengoni",907438,https://open.spotify.com/track/2V8AxW9KS5i60ccy7tXCP6
32,FORTUNA,Ghali,894060,https://open.spotify.com/track/0b53fWGqxHfsdyzkwlEFFl
